date,compound,pos,neu,neg,trends
2022/10/18,1.391,0.762,2.925,0.313,63
2022/10/19,1.936,0.543,3.405,0.052,46
2022/10/20,1.0289,0.507,1.353,0.14,45
2022/10/21,2.1938,0.572,4.337,0.09,54
2022/10/24,0,0,0,0,47
2022/10/25,2.44,0.831,4.088,0.081,50
2022/10/26,1.7218,0.483,3.385,0.132,47
2022/10/27,1.7822,0.515,2.375,0.111,53
2022/10/28,0.5752,0.671,5.807,0.522,44
2022/10/31,0.6908,0.283,0.717,0,43
2022/11/1,-0.3078,0.317,2.358,0.324,39
2022/11/2,0.4829,0.36,2.411,0.229,52
2022/11/3,-0.128,0.039,0.911,0.05,53
2022/11/4,1.8938,1.457,8.482,1.061,54
2022/11/7,0,0,0,0,52
2022/11/8,0.3995,0.284,3.453,0.262,49
2022/11/9,1.4967,0.536,3.267,0.197,45
2022/11/10,0.6873,0.554,6.126,0.32,53
2022/11/11,0.5651,0.779,5.555,0.665,40
2022/11/14,0,0,0,0,60
2022/11/15,1.0021,0.683,3.942,0.376,48
2022/11/16,2.0756,0.657,5.204,0.139,48
2022/11/17,-0.4146,0.499,3.965,0.536,47
2022/11/18,-0.8506,0.353,2.076,0.57,51
2022/11/21,0.4019,0.074,0.926,0,43
2022/11/22,2.2799,0.701,3.134,0.165,45
2022/11/23,0.7095,0.202,1.756,0.042,46
2022/11/24,1.4625,0.341,1.618,0.041,50
2022/11/25,2.906,0.955,3.754,0.29,32
2022/11/28,0,0,0,0,61
2022/11/29,0.0702,0.461,2.09,0.45,39
2022/11/30,-1.157,0.213,4.32,0.468,66
2022/12/1,2.5891,1.027,5.473,0.5,62
2022/12/2,3.2917,1.181,4.449,0.369,39
2022/12/5,0,0,0,0,44
2022/12/6,0.305,0.343,2.455,0.202,39
2022/12/7,1.4791,0.675,3.133,0.192,51
2022/12/8,0.1271,0.277,1.485,0.238,48
2022/12/9,2.8739,1.166,5.675,0.159,43
2022/12/12,0,0,0,0,56
2022/12/13,2.3885,0.644,4.192,0.164,44
2022/12/14,1.6305,0.524,2.476,0,52
2022/12/15,0.0258,0.11,0.782,0.108,46
2022/12/16,0.6435,0.525,4.938,0.534,45
2022/12/19,0,0,0,0,100
2022/12/20,1.5938,0.591,3.252,0.157,85
2022/12/21,1.6536,0.396,2.556,0.048,57
2022/12/22,1.6033,0.503,1.336,0.161,52
2022/12/23,0.5085,0.825,2.701,0.474,57
2022/12/26,0,0,0,0,24
2022/12/27,0,0,0,0,30
2022/12/28,0,0,0,0,31
2022/12/29,0,0,0,0,23
2022/12/30,0.4345,0.181,1.757,0.063,27
2023/1/2,0,0,0,0,32
2023/1/3,0,0,0,0,34
2023/1/4,-1.0515,0.048,1.691,0.261,59
2023/1/5,0.205,0.532,3.082,0.388,59
2023/1/6,0.3931,0.418,2.217,0.366,36
2023/1/9,0,0,0,0,56
2023/1/10,0.8794,0.429,2.291,0.281,64
2023/1/11,0.7797,0.299,1.545,0.157,52
2023/1/12,1.2749,0.591,2.011,0.4,59
2023/1/13,1.2879,0.416,2.419,0.165,36
2023/1/16,0,0,0,0,43
2023/1/17,0.4682,0.264,1.59,0.147,63
2023/1/18,1.3704,0.54,2.322,0.138,47
2023/1/19,0.2433,0.348,2.424,0.228,64
2023/1/20,1.4385,0.406,2.476,0.117,53
2023/1/23,0,0,0,0,51
2023/1/24,0.9554,0.357,2.454,0.189,74
2023/1/25,0.6487,0.232,1.623,0.145,57
2023/1/26,1.0317,0.401,1.361,0.239,55
2023/1/27,1.632,0.661,2.11,0.229,61
2023/1/30,0.4907,0.225,1.624,0.151,61
2023/1/31,0.0152,0.311,2.337,0.352,82
2023/2/1,0.1757,0.172,1.677,0.151,62
2023/2/2,0.9358,0.22,1.78,0,52
2023/2/3,2.0413,1.239,4.021,0.74,45
2023/2/6,0.4767,0.103,0.897,0,61
2023/2/7,0.5723,0.682,3.952,0.366,63
2023/2/8,1.0665,0.492,2.373,0.135,60
2023/2/9,1.756,0.544,3.208,0.247,80
2023/2/10,3.56,1.172,7.486,0.34,54
2023/2/13,-0.9186,0,1.651,0.349,73
2023/2/14,0.3269,0.423,3.382,0.195,60
2023/2/15,-0.0844,0.361,3.148,0.49,66
2023/2/16,0.9177,0.678,3.825,0.497,66
2023/2/17,0.9487,0.654,3.965,0.381,53
2023/2/20,0,0,0,0,82
2023/2/21,-0.5269,0.452,4.943,0.605,67
2023/2/22,-0.1056,0.292,2.414,0.294,75
2023/2/23,0.7994,0.453,2.344,0.203,64
2023/2/24,0.735,0.734,4.665,0.601,63
